resource_type,key,category,group,entry_id,module_id,source_name,filename,relative_path,url,bytes,content_length,status
cinema,cinema|1301|279|影画展示1|https://act-upload.mihoyo.com/nap-obc-indep/2025/06/25/233874762/c1b38de0140be9207ff3414da48b1d4f_2458394363998645346.jpg,官方意象影画,橘福福,1301,279,影画展示1,影画展示1.jpg,官方意象影画\橘福福\影画展示1.jpg,https://act-upload.mihoyo.com/nap-obc-indep/2025/06/25/233874762/c1b38de0140be9207ff3414da48b1d4f_2458394363998645346.jpg,,,
cinema,cinema|1301|279|影画展示2|https://act-upload.mihoyo.com/nap-obc-indep/2025/06/25/233874762/2bfa93b1dadcc17707cf56ac3486974f_1162999906001156840.jpg,官方意象影画,橘福福,1301,279,影画展示2,影画展示2.jpg,官方意象影画\橘福福\影画展示2.jpg,https://act-upload.mihoyo.com/nap-obc-indep/2025/06/25/233874762/2bfa93b1dadcc17707cf56ac3486974f_1162999906001156840.jpg,,,
cinema,cinema|1301|279|影画展示3|https://act-upload.mihoyo.com/nap-obc-indep/2025/06/25/233874762/0da9ab63efb890db13255e6635bd3cab_7349922063823232687.jpg,官方意象影画,橘福福,1301,279,影画展示3,影画展示3.jpg,官方意象影画\橘福福\影画展示3.jpg,https://act-upload.mihoyo.com/nap-obc-indep/2025/06/25/233874762/0da9ab63efb890db13255e6635bd3cab_7349922063823232687.jpg,,,
cinema,cinema|1299|279|影画展示1|https://act-upload.mihoyo.com/nap-obc-indep/2025/06/06/141353238/b1c8929f5ddf4f36da41a9ebf35b5ac0_6258006902962033407.jpg,官方意象影画,仪玄,1299,279,影画展示1,影画展示1.jpg,官方意象影画\仪玄\影画展示1.jpg,https://act-upload.mihoyo.com/nap-obc-indep/2025/06/06/141353238/b1c8929f5ddf4f36da41a9ebf35b5ac0_6258006902962033407.jpg,,,
cinema,cinema|1299|279|影画展示2|https://act-upload.mihoyo.com/nap-obc-indep/2025/06/06/141353238/0ff1a5943cafcf4990e9f6e17761fc5c_5015942380547295154.jpg,官方意象影画,仪玄,1299,279,影画展示2,影画展示2.jpg,官方意象影画\仪玄\影画展示2.jpg,https://act-upload.mihoyo.com/nap-obc-indep/2025/06/06/141353238/0ff1a5943cafcf4990e9f6e17761fc5c_5015942380547295154.jpg,,,
cinema,cinema|1299|279|影画展示3|https://act-upload.mihoyo.com/nap-obc-indep/2025/06/06/141353238/1749e54da2ecf9c909577b9ab3ed479d_717285368809051707.jpg,官方意象影画,仪玄,1299,279,影画展示3,影画展示3.jpg,官方意象影画\仪玄\影画展示3.jpg,https://act-upload.mihoyo.com/nap-obc-indep/2025/06/06/141353238/1749e54da2ecf9c909577b9ab3ed479d_717285368809051707.jpg,,,
cinema,cinema|1290|279|影画展示1|https://act-upload.mihoyo.com/nap-obc-indep/2025/05/14/76099754/afb5bc432b75e44604bd58d9d9cdbecb_8724357581051564248.png,官方意象影画,雨果,1290,279,影画展示1,影画展示1.png,官方意象影画\雨果\影画展示1.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/05/14/76099754/afb5bc432b75e44604bd58d9d9cdbecb_8724357581051564248.png,,,
cinema,cinema|1290|279|影画展示2|https://act-upload.mihoyo.com/nap-obc-indep/2025/05/14/76099754/b9903bdca3d281f85053ae10ad9f2d48_1907993815182853697.png,官方意象影画,雨果,1290,279,影画展示2,影画展示2.png,官方意象影画\雨果\影画展示2.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/05/14/76099754/b9903bdca3d281f85053ae10ad9f2d48_1907993815182853697.png,,,
cinema,cinema|1290|279|影画展示3|https://act-upload.mihoyo.com/nap-obc-indep/2025/05/14/76099754/f89181c5e457ac5232037c5807457e3e_1850534911088241065.png,官方意象影画,雨果,1290,279,影画展示3,影画展示3.png,官方意象影画\雨果\影画展示3.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/05/14/76099754/f89181c5e457ac5232037c5807457e3e_1850534911088241065.png,,,
cinema,cinema|1276|279|影画展示1|https://act-upload.mihoyo.com/nap-obc-indep/2025/04/23/76099754/333af6f20cdd84240029b6be0d211c5d_6491596626781273771.png,官方意象影画,薇薇安,1276,279,影画展示1,影画展示1.png,官方意象影画\薇薇安\影画展示1.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/04/23/76099754/333af6f20cdd84240029b6be0d211c5d_6491596626781273771.png,,,
cinema,cinema|1276|279|影画展示2|https://act-upload.mihoyo.com/nap-obc-indep/2025/04/23/76099754/7d4ddc2d97ace4bda74ba02fabf74c6c_3980830210559386063.png,官方意象影画,薇薇安,1276,279,影画展示2,影画展示2.png,官方意象影画\薇薇安\影画展示2.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/04/23/76099754/7d4ddc2d97ace4bda74ba02fabf74c6c_3980830210559386063.png,,,
cinema,cinema|1276|279|影画展示3|https://act-upload.mihoyo.com/nap-obc-indep/2025/04/23/76099754/44a0b002562b649bb686f35542bf33b0_100700600916513283.png,官方意象影画,薇薇安,1276,279,影画展示3,影画展示3.png,官方意象影画\薇薇安\影画展示3.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/04/23/76099754/44a0b002562b649bb686f35542bf33b0_100700600916513283.png,,,
cinema,cinema|1230|279|影画展示1|https://act-upload.mihoyo.com/nap-obc-indep/2025/04/02/76099754/ac4b599536f553527031d98e3c4dc4b8_8608546717492432370.png,官方意象影画,扳机,1230,279,影画展示1,影画展示1.png,官方意象影画\扳机\影画展示1.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/04/02/76099754/ac4b599536f553527031d98e3c4dc4b8_8608546717492432370.png,,,
cinema,cinema|1230|279|影画展示2|https://act-upload.mihoyo.com/nap-obc-indep/2025/04/02/76099754/65fd2dd41e386755d6049ddd7cb6cbc8_8067710465517812227.png,官方意象影画,扳机,1230,279,影画展示2,影画展示2.png,官方意象影画\扳机\影画展示2.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/04/02/76099754/65fd2dd41e386755d6049ddd7cb6cbc8_8067710465517812227.png,,,
cinema,cinema|1230|279|影画展示3|https://act-upload.mihoyo.com/nap-obc-indep/2025/04/02/76099754/cdcf8e92f26cf2f3e2f65a5767d8b535_8135397900960636679.png,官方意象影画,扳机,1230,279,影画展示3,影画展示3.png,官方意象影画\扳机\影画展示3.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/04/02/76099754/cdcf8e92f26cf2f3e2f65a5767d8b535_8135397900960636679.png,,,
cinema,cinema|1190|279|影画展示1|https://act-upload.mihoyo.com/nap-obc-indep/2025/03/12/76099754/6927dd7930f5cce72dbac0f21208adb0_1032509430204003249.jpg,官方意象影画,零号·安比,1190,279,影画展示1,影画展示1.jpg,官方意象影画\零号·安比\影画展示1.jpg,https://act-upload.mihoyo.com/nap-obc-indep/2025/03/12/76099754/6927dd7930f5cce72dbac0f21208adb0_1032509430204003249.jpg,,,
cinema,cinema|1190|279|影画展示2|https://act-upload.mihoyo.com/nap-obc-indep/2025/03/12/76099754/ac0fdafe0bcf9afb73045e8222e06558_6970556059190006579.jpg,官方意象影画,零号·安比,1190,279,影画展示2,影画展示2.jpg,官方意象影画\零号·安比\影画展示2.jpg,https://act-upload.mihoyo.com/nap-obc-indep/2025/03/12/76099754/ac0fdafe0bcf9afb73045e8222e06558_6970556059190006579.jpg,,,
cinema,cinema|1190|279|影画展示3|https://act-upload.mihoyo.com/nap-obc-indep/2025/03/12/76099754/a40bd3e7cc879eb969e8b01b590d3f2c_6850515742842836522.jpg,官方意象影画,零号·安比,1190,279,影画展示3,影画展示3.jpg,官方意象影画\零号·安比\影画展示3.jpg,https://act-upload.mihoyo.com/nap-obc-indep/2025/03/12/76099754/a40bd3e7cc879eb969e8b01b590d3f2c_6850515742842836522.jpg,,,
cinema,cinema|1158|279|影画展示1|https://act-upload.mihoyo.com/nap-obc-indep/2025/02/12/76099754/a551c17974c340b455f2d6755c320d34_3356806229237353954.png,官方意象影画,伊芙琳,1158,279,影画展示1,影画展示1.png,官方意象影画\伊芙琳\影画展示1.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/02/12/76099754/a551c17974c340b455f2d6755c320d34_3356806229237353954.png,,,
cinema,cinema|1158|279|影画展示2|https://act-upload.mihoyo.com/nap-obc-indep/2025/02/12/76099754/826fc7a32d18e9b8a0a9e37b353bdfba_1701326909171964745.png,官方意象影画,伊芙琳,1158,279,影画展示2,影画展示2.png,官方意象影画\伊芙琳\影画展示2.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/02/12/76099754/826fc7a32d18e9b8a0a9e37b353bdfba_1701326909171964745.png,,,
cinema,cinema|1158|279|影画展示3|https://act-upload.mihoyo.com/nap-obc-indep/2025/02/12/76099754/c1d0c580daab58904f4a001e748bef5f_7545051182027015528.png,官方意象影画,伊芙琳,1158,279,影画展示3,影画展示3.png,官方意象影画\伊芙琳\影画展示3.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/02/12/76099754/c1d0c580daab58904f4a001e748bef5f_7545051182027015528.png,,,
cinema,cinema|1109|279|影画展示1|https://act-upload.mihoyo.com/nap-obc-indep/2025/01/23/76099754/dfbee696256c448d48d3751e40101dcf_6276757791933784414.png,官方意象影画,耀嘉音,1109,279,影画展示1,影画展示1.png,官方意象影画\耀嘉音\影画展示1.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/01/23/76099754/dfbee696256c448d48d3751e40101dcf_6276757791933784414.png,,,
cinema,cinema|1109|279|影画展示2|https://act-upload.mihoyo.com/nap-obc-indep/2025/01/23/76099754/f26980a4d12e9398b499bddf1915f19b_4025984920806439442.png,官方意象影画,耀嘉音,1109,279,影画展示2,影画展示2.png,官方意象影画\耀嘉音\影画展示2.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/01/23/76099754/f26980a4d12e9398b499bddf1915f19b_4025984920806439442.png,,,
